assessment_id,customer_id,loan_id,assessment_date,risk_score,probability_of_default,risk_category,model_version
RISK0000565,CUST0000331,LOAN0000565,2023-01-28,693,0.0707,LOW,synthetic-pd-v1.0
RISK0000566,CUST0001783,LOAN0000566,2025-09-07,753,0.0201,LOW,synthetic-pd-v1.0
RISK0000567,CUST0000510,LOAN0000567,2023-03-02,744,0.0244,LOW,synthetic-pd-v1.0
RISK0000568,CUST0001202,LOAN0000568,2025-12-29,696,0.0667,LOW,synthetic-pd-v1.0
RISK0000569,CUST0000816,LOAN0000569,2024-09-27,703,0.0577,LOW,synthetic-pd-v1.0
RISK0000570,CUST0000211,LOAN0000570,2024-01-12,734,0.0304,LOW,synthetic-pd-v1.0
RISK0000571,CUST0002000,LOAN0000571,2022-12-16,637,0.2071,MEDIUM,synthetic-pd-v1.0
RISK0000572,CUST0000072,LOAN0000572,2024-02-22,645,0.1798,MEDIUM,synthetic-pd-v1.0
RISK0000573,CUST0001025,LOAN0000573,2025-11-17,663,0.1273,LOW,synthetic-pd-v1.0
RISK0000574,CUST0001848,LOAN0000574,2024-02-29,691,0.0733,LOW,synthetic-pd-v1.0
RISK0000575,CUST0001613,LOAN0000575,2022-08-03,638,0.2023,MEDIUM,synthetic-pd-v1.0
RISK0000576,CUST0001093,LOAN0000576,2021-10-31,728,0.0342,LOW,synthetic-pd-v1.0
RISK0000577,CUST0001037,LOAN0000577,2026-01-04,637,0.205,MEDIUM,synthetic-pd-v1.0
RISK0000578,CUST0001865,LOAN0000578,2025-06-04,735,0.0297,LOW,synthetic-pd-v1.0
RISK0000579,CUST0001918,LOAN0000579,2024-12-01,709,0.051,LOW,synthetic-pd-v1.0
RISK0000580,CUST0000327,LOAN0000580,2026-06-19,684,0.0849,LOW,synthetic-pd-v1.0
RISK0000581,CUST0001301,LOAN0000581,2026-07-30,498,0.8418,HIGH,synthetic-pd-v1.0
RISK0000582,CUST0001617,LOAN0000582,2025-11-22,708,0.0519,LOW,synthetic-pd-v1.0
RISK0000583,CUST0000830,LOAN0000583,2024-10-14,708,0.0517,LOW,synthetic-pd-v1.0
RISK0000584,CUST0000935,LOAN0000584,2022-07-22,670,0.111,MEDIUM,synthetic-pd-v1.0
RISK0000585,CUST0001338,LOAN0000585,2022-12-19,696,0.0672,LOW,synthetic-pd-v1.0
RISK0000586,CUST0000243,LOAN0000586,2024-11-15,644,0.1826,MEDIUM,synthetic-pd-v1.0
RISK0000587,CUST0001032,LOAN0000587,2025-12-23,646,0.1757,MEDIUM,synthetic-pd-v1.0
RISK0000588,CUST0001021,LOAN0000588,2023-10-28,557,0.5967,HIGH,synthetic-pd-v1.0
RISK0000589,CUST0001548,LOAN0000589,2025-12-27,707,0.0536,LOW,synthetic-pd-v1.0
RISK0000590,CUST0000392,LOAN0000590,2026-04-21,746,0.0234,LOW,synthetic-pd-v1.0
RISK0000591,CUST0000221,LOAN0000591,2025-02-16,712,0.0484,LOW,synthetic-pd-v1.0
RISK0000592,CUST0001579,LOAN0000592,2023-09-12,698,0.0639,LOW,synthetic-pd-v1.0
RISK0000593,CUST0001825,LOAN0000593,2025-11-14,689,0.0764,LOW,synthetic-pd-v1.0
RISK0000594,CUST0000371,LOAN0000594,2023-08-08,759,0.0178,LOW,synthetic-pd-v1.0
RISK0000595,CUST0000267,LOAN0000595,2025-01-08,733,0.0309,LOW,synthetic-pd-v1.0
RISK0000596,CUST0001132,LOAN0000596,2023-10-31,770,0.014,LOW,synthetic-pd-v1.0
RISK0000597,CUST0000116,LOAN0000597,2025-11-25,747,0.0228,LOW,synthetic-pd-v1.0
RISK0000598,CUST0000095,LOAN0000598,2023-04-24,775,0.0126,LOW,synthetic-pd-v1.0
RISK0000599,CUST0001437,LOAN0000599,2023-09-03,752,0.0208,LOW,synthetic-pd-v1.0
RISK0000600,CUST0000275,LOAN0000600,2026-02-07,689,0.0766,LOW,synthetic-pd-v1.0
RISK0000601,CUST0001724,LOAN0000601,2024-08-12,491,0.8612,HIGH,synthetic-pd-v1.0
RISK0000602,CUST0001740,LOAN0000602,2022-02-07,634,0.2155,MEDIUM,synthetic-pd-v1.0
RISK0000603,CUST0000034,LOAN0000603,2024-01-07,663,0.1269,LOW,synthetic-pd-v1.0
RISK0000604,CUST0001463,LOAN0000604,2023-01-08,617,0.2876,MEDIUM,synthetic-pd-v1.0
RISK0000605,CUST0001571,LOAN0000605,2023-02-25,738,0.0275,LOW,synthetic-pd-v1.0
RISK0000606,CUST0001238,LOAN0000606,2025-04-13,623,0.2611,MEDIUM,synthetic-pd-v1.0
RISK0000607,CUST0001631,LOAN0000607,2026-05-19,703,0.0578,LOW,synthetic-pd-v1.0
RISK0000608,CUST0001388,LOAN0000608,2025-01-08,642,0.189,MEDIUM,synthetic-pd-v1.0
RISK0000609,CUST0001617,LOAN0000609,2026-08-15,697,0.0651,LOW,synthetic-pd-v1.0
RISK0000610,CUST0001842,LOAN0000610,2024-07-26,640,0.1937,MEDIUM,synthetic-pd-v1.0
RISK0000611,CUST0000886,LOAN0000611,2024-09-08,793,0.0085,LOW,synthetic-pd-v1.0
RISK0000612,CUST0000674,LOAN0000612,2025-04-12,710,0.05,LOW,synthetic-pd-v1.0
RISK0000613,CUST0000673,LOAN0000613,2023-06-20,633,0.2197,MEDIUM,synthetic-pd-v1.0
RISK0000614,CUST0000604,LOAN0000614,2023-05-29,711,0.0489,LOW,synthetic-pd-v1.0
RISK0000615,CUST0001975,LOAN0000615,2026-04-17,710,0.0495,LOW,synthetic-pd-v1.0
RISK0000616,CUST0001830,LOAN0000616,2026-06-11,606,0.3349,HIGH,synthetic-pd-v1.0
RISK0000617,CUST0001067,LOAN0000617,2022-08-24,700,0.0608,LOW,synthetic-pd-v1.0
RISK0000618,CUST0001261,LOAN0000618,2022-08-20,694,0.0699,LOW,synthetic-pd-v1.0
RISK0000619,CUST0000973,LOAN0000619,2022-04-09,566,0.5511,HIGH,synthetic-pd-v1.0
RISK0000620,CUST0001169,LOAN0000620,2024-06-02,726,0.036,LOW,synthetic-pd-v1.0
RISK0000621,CUST0000791,LOAN0000621,2023-10-17,692,0.072,LOW,synthetic-pd-v1.0
RISK0000622,CUST0001871,LOAN0000622,2022-11-21,714,0.0464,LOW,synthetic-pd-v1.0
RISK0000623,CUST0000982,LOAN0000623,2023-02-10,715,0.0453,LOW,synthetic-pd-v1.0
RISK0000624,CUST0000985,LOAN0000624,2025-11-30,685,0.0837,LOW,synthetic-pd-v1.0
RISK0000625,CUST0001993,LOAN0000625,2025-08-19,758,0.0181,LOW,synthetic-pd-v1.0
RISK0000626,CUST0001478,LOAN0000626,2023-02-01,748,0.0223,LOW,synthetic-pd-v1.0
RISK0000627,CUST0001192,LOAN0000627,2026-08-31,598,0.3784,HIGH,synthetic-pd-v1.0
RISK0000628,CUST0001554,LOAN0000628,2022-12-05,697,0.0657,LOW,synthetic-pd-v1.0
RISK0000629,CUST0001231,LOAN0000629,2023-01-29,732,0.0318,LOW,synthetic-pd-v1.0
RISK0000630,CUST0001692,LOAN0000630,2022-01-26,679,0.0941,MEDIUM,synthetic-pd-v1.0
RISK0000631,CUST0001165,LOAN0000631,2023-01-10,809,0.006,LOW,synthetic-pd-v1.0
RISK0000632,CUST0001095,LOAN0000632,2023-11-28,725,0.0363,LOW,synthetic-pd-v1.0
RISK0000633,CUST0000363,LOAN0000633,2024-06-05,727,0.0348,LOW,synthetic-pd-v1.0
RISK0000634,CUST0000253,LOAN0000634,2024-11-19,601,0.361,HIGH,synthetic-pd-v1.0
RISK0000635,CUST0001038,LOAN0000635,2026-09-01,668,0.1155,MEDIUM,synthetic-pd-v1.0
RISK0000636,CUST0001120,LOAN0000636,2025-05-17,675,0.1011,MEDIUM,synthetic-pd-v1.0
RISK0000637,CUST0000241,LOAN0000637,2022-11-07,745,0.0241,LOW,synthetic-pd-v1.0
RISK0000638,CUST0001539,LOAN0000638,2025-12-19,674,0.1027,LOW,synthetic-pd-v1.0
RISK0000639,CUST0001538,LOAN0000639,2022-09-10,779,0.0116,LOW,synthetic-pd-v1.0
RISK0000640,CUST0001190,LOAN0000640,2024-08-25,582,0.4639,HIGH,synthetic-pd-v1.0
RISK0000641,CUST0001373,LOAN0000641,2021-11-16,705,0.0554,LOW,synthetic-pd-v1.0
RISK0000642,CUST0001031,LOAN0000642,2023-07-27,680,0.0927,LOW,synthetic-pd-v1.0
RISK0000643,CUST0001611,LOAN0000643,2022-11-24,731,0.032,LOW,synthetic-pd-v1.0
RISK0000644,CUST0000347,LOAN0000644,2023-07-29,610,0.3188,HIGH,synthetic-pd-v1.0
RISK0000645,CUST0001591,LOAN0000645,2024-02-17,707,0.0529,LOW,synthetic-pd-v1.0
RISK0000646,CUST0000211,LOAN0000646,2021-09-23,736,0.0291,LOW,synthetic-pd-v1.0
RISK0000647,CUST0001150,LOAN0000647,2026-08-20,805,0.0065,LOW,synthetic-pd-v1.0
RISK0000648,CUST0000078,LOAN0000648,2025-03-20,585,0.4442,HIGH,synthetic-pd-v1.0
RISK0000649,CUST0001586,LOAN0000649,2024-08-03,770,0.0141,LOW,synthetic-pd-v1.0
RISK0000650,CUST0000367,LOAN0000650,2025-07-21,707,0.053,LOW,synthetic-pd-v1.0
RISK0000651,CUST0000372,LOAN0000651,2022-12-06,715,0.0455,LOW,synthetic-pd-v1.0
RISK0000652,CUST0001937,LOAN0000652,2023-06-24,715,0.045,LOW,synthetic-pd-v1.0
RISK0000653,CUST0000825,LOAN0000653,2022-08-17,705,0.0549,LOW,synthetic-pd-v1.0
RISK0000654,CUST0000287,LOAN0000654,2026-06-27,705,0.0548,LOW,synthetic-pd-v1.0
RISK0000655,CUST0000567,LOAN0000655,2022-04-11,790,0.0091,LOW,synthetic-pd-v1.0
RISK0000656,CUST0000323,LOAN0000656,2023-12-03,658,0.1402,MEDIUM,synthetic-pd-v1.0
RISK0000657,CUST0001306,LOAN0000657,2022-06-13,728,0.0341,LOW,synthetic-pd-v1.0
RISK0000658,CUST0001214,LOAN0000658,2025-10-13,706,0.0548,LOW,synthetic-pd-v1.0
RISK0000659,CUST0000060,LOAN0000659,2024-08-19,672,0.1085,MEDIUM,synthetic-pd-v1.0
RISK0000660,CUST0000250,LOAN0000660,2021-11-18,714,0.0462,LOW,synthetic-pd-v1.0
RISK0000661,CUST0001064,LOAN0000661,2025-07-26,713,0.0472,LOW,synthetic-pd-v1.0
RISK0000662,CUST0001374,LOAN0000662,2023-01-21,809,0.006,LOW,synthetic-pd-v1.0
RISK0000663,CUST0000457,LOAN0000663,2025-01-18,776,0.0124,LOW,synthetic-pd-v1.0
RISK0000664,CUST0001199,LOAN0000664,2025-11-04,577,0.4896,HIGH,synthetic-pd-v1.0
RISK0000665,CUST0000713,LOAN0000665,2023-07-14,786,0.0098,LOW,synthetic-pd-v1.0
RISK0000666,CUST0001929,LOAN0000666,2026-03-06,736,0.0289,LOW,synthetic-pd-v1.0
RISK0000667,CUST0001761,LOAN0000667,2023-04-23,677,0.0972,MEDIUM,synthetic-pd-v1.0
RISK0000668,CUST0001694,LOAN0000668,2024-07-21,660,0.135,MEDIUM,synthetic-pd-v1.0
RISK0000669,CUST0000718,LOAN0000669,2025-09-11,625,0.2497,MEDIUM,synthetic-pd-v1.0
RISK0000670,CUST0001849,LOAN0000670,2025-03-01,700,0.0608,LOW,synthetic-pd-v1.0
RISK0000671,CUST0000122,LOAN0000671,2022-08-08,675,0.1018,MEDIUM,synthetic-pd-v1.0
RISK0000672,CUST0000889,LOAN0000672,2025-02-26,656,0.1462,MEDIUM,synthetic-pd-v1.0
RISK0000673,CUST0000446,LOAN0000673,2022-11-16,763,0.0164,LOW,synthetic-pd-v1.0
RISK0000674,CUST0001546,LOAN0000674,2024-08-13,736,0.0287,LOW,synthetic-pd-v1.0
RISK0000675,CUST0000218,LOAN0000675,2026-06-22,769,0.0142,LOW,synthetic-pd-v1.0
RISK0000676,CUST0001540,LOAN0000676,2022-09-08,661,0.1329,MEDIUM,synthetic-pd-v1.0
RISK0000677,CUST0000588,LOAN0000677,2025-11-29,609,0.3239,MEDIUM,synthetic-pd-v1.0
RISK0000678,CUST0001185,LOAN0000678,2023-03-17,754,0.0197,LOW,synthetic-pd-v1.0
RISK0000679,CUST0001802,LOAN0000679,2021-11-30,742,0.0256,LOW,synthetic-pd-v1.0
RISK0000680,CUST0001225,LOAN0000680,2025-07-14,621,0.2689,MEDIUM,synthetic-pd-v1.0
RISK0000681,CUST0000016,LOAN0000681,2024-04-24,689,0.0771,LOW,synthetic-pd-v1.0
RISK0000682,CUST0000525,LOAN0000682,2023-06-02,729,0.0336,LOW,synthetic-pd-v1.0
RISK0000683,CUST0000978,LOAN0000683,2023-01-24,751,0.0212,LOW,synthetic-pd-v1.0
RISK0000684,CUST0001256,LOAN0000684,2025-06-11,762,0.0166,LOW,synthetic-pd-v1.0
RISK0000685,CUST0000180,LOAN0000685,2023-09-22,749,0.0218,LOW,synthetic-pd-v1.0
RISK0000686,CUST0000987,LOAN0000686,2025-07-25,806,0.0064,LOW,synthetic-pd-v1.0
RISK0000687,CUST0001008,LOAN0000687,2022-07-28,691,0.0735,LOW,synthetic-pd-v1.0
RISK0000688,CUST0001892,LOAN0000688,2022-02-15,623,0.2603,MEDIUM,synthetic-pd-v1.0
RISK0000689,CUST0000758,LOAN0000689,2025-10-11,682,0.0879,MEDIUM,synthetic-pd-v1.0
RISK0000690,CUST0001014,LOAN0000690,2024-10-26,681,0.0904,LOW,synthetic-pd-v1.0
RISK0000691,CUST0000724,LOAN0000691,2023-10-13,774,0.0127,LOW,synthetic-pd-v1.0
RISK0000692,CUST0000288,LOAN0000692,2021-12-27,670,0.1124,MEDIUM,synthetic-pd-v1.0
RISK0000693,CUST0000142,LOAN0000693,2025-09-16,619,0.2776,MEDIUM,synthetic-pd-v1.0
RISK0000694,CUST0000521,LOAN0000694,2022-04-14,647,0.1735,MEDIUM,synthetic-pd-v1.0
RISK0000695,CUST0000746,LOAN0000695,2022-10-30,733,0.0307,LOW,synthetic-pd-v1.0
RISK0000696,CUST0000802,LOAN0000696,2022-04-10,620,0.272,MEDIUM,synthetic-pd-v1.0
RISK0000697,CUST0000958,LOAN0000697,2021-09-24,807,0.0063,LOW,synthetic-pd-v1.0
RISK0000698,CUST0001622,LOAN0000698,2024-09-04,700,0.0611,LOW,synthetic-pd-v1.0
RISK0000699,CUST0000262,LOAN0000699,2025-06-23,794,0.0083,LOW,synthetic-pd-v1.0
RISK0000700,CUST0000677,LOAN0000700,2023-11-24,698,0.0634,LOW,synthetic-pd-v1.0
RISK0000701,CUST0001802,LOAN0000701,2022-03-07,727,0.0349,LOW,synthetic-pd-v1.0
RISK0000702,CUST0001719,LOAN0000702,2023-02-25,631,0.2285,MEDIUM,synthetic-pd-v1.0
RISK0000703,CUST0000987,LOAN0000703,2024-08-25,804,0.0067,LOW,synthetic-pd-v1.0
RISK0000704,CUST0000413,LOAN0000704,2022-02-27,679,0.0939,LOW,synthetic-pd-v1.0
RISK0000705,CUST0001228,LOAN0000705,2026-06-12,650,0.1632,MEDIUM,synthetic-pd-v1.0
RISK0000706,CUST0000375,LOAN0000706,2023-06-26,654,0.1514,MEDIUM,synthetic-pd-v1.0
RISK0000707,CUST0000083,LOAN0000707,2024-12-26,726,0.0356,LOW,synthetic-pd-v1.0
RISK0000708,CUST0001277,LOAN0000708,2026-06-24,630,0.2307,MEDIUM,synthetic-pd-v1.0
RISK0000709,CUST0001204,LOAN0000709,2024-10-13,594,0.3996,HIGH,synthetic-pd-v1.0
RISK0000710,CUST0001488,LOAN0000710,2022-01-11,730,0.0325,LOW,synthetic-pd-v1.0
RISK0000711,CUST0001538,LOAN0000711,2025-04-24,780,0.0114,LOW,synthetic-pd-v1.0
RISK0000712,CUST0001941,LOAN0000712,2026-07-25,796,0.008,LOW,synthetic-pd-v1.0
RISK0000713,CUST0001078,LOAN0000713,2022-07-31,677,0.0975,LOW,synthetic-pd-v1.0
RISK0000714,CUST0000498,LOAN0000714,2022-04-21,763,0.0162,LOW,synthetic-pd-v1.0
RISK0000715,CUST0001671,LOAN0000715,2022-07-17,711,0.0494,LOW,synthetic-pd-v1.0
RISK0000716,CUST0001866,LOAN0000716,2026-04-29,693,0.0712,LOW,synthetic-pd-v1.0
RISK0000717,CUST0001674,LOAN0000717,2023-08-14,681,0.0902,LOW,synthetic-pd-v1.0
RISK0000718,CUST0001365,LOAN0000718,2025-10-19,727,0.0354,LOW,synthetic-pd-v1.0
RISK0000719,CUST0001554,LOAN0000719,2021-11-17,663,0.128,MEDIUM,synthetic-pd-v1.0
RISK0000720,CUST0001383,LOAN0000720,2025-12-17,561,0.5775,HIGH,synthetic-pd-v1.0
RISK0000721,CUST0000629,LOAN0000721,2025-09-19,675,0.1017,MEDIUM,synthetic-pd-v1.0
RISK0000722,CUST0000850,LOAN0000722,2025-03-11,633,0.22,MEDIUM,synthetic-pd-v1.0
RISK0000723,CUST0000051,LOAN0000723,2022-04-12,743,0.0248,LOW,synthetic-pd-v1.0
RISK0000724,CUST0000474,LOAN0000724,2021-11-03,731,0.0321,LOW,synthetic-pd-v1.0
RISK0000725,CUST0001597,LOAN0000725,2022-05-07,604,0.347,HIGH,synthetic-pd-v1.0
RISK0000726,CUST0001310,LOAN0000726,2024-11-01,698,0.0641,LOW,synthetic-pd-v1.0
RISK0000727,CUST0001874,LOAN0000727,2023-10-18,664,0.1253,MEDIUM,synthetic-pd-v1.0
RISK0000728,CUST0000405,LOAN0000728,2022-04-17,747,0.0231,LOW,synthetic-pd-v1.0
RISK0000729,CUST0001396,LOAN0000729,2022-10-19,694,0.07,LOW,synthetic-pd-v1.0
RISK0000730,CUST0000568,LOAN0000730,2024-05-02,685,0.0837,LOW,synthetic-pd-v1.0
RISK0000731,CUST0000154,LOAN0000731,2021-10-13,796,0.008,LOW,synthetic-pd-v1.0
RISK0000732,CUST0000308,LOAN0000732,2022-02-17,722,0.039,LOW,synthetic-pd-v1.0
RISK0000733,CUST0000866,LOAN0000733,2023-12-13,790,0.009,LOW,synthetic-pd-v1.0
RISK0000734,CUST0000681,LOAN0000734,2023-06-25,543,0.6661,HIGH,synthetic-pd-v1.0
RISK0000735,CUST0001300,LOAN0000735,2024-02-19,729,0.0337,LOW,synthetic-pd-v1.0
RISK0000736,CUST0001569,LOAN0000736,2026-08-06,753,0.0201,LOW,synthetic-pd-v1.0
RISK0000737,CUST0000477,LOAN0000737,2024-04-08,656,0.1464,MEDIUM,synthetic-pd-v1.0
RISK0000738,CUST0001977,LOAN0000738,2026-01-20,715,0.0446,LOW,synthetic-pd-v1.0
RISK0000739,CUST0001177,LOAN0000739,2025-06-28,719,0.0417,LOW,synthetic-pd-v1.0
RISK0000740,CUST0000579,LOAN0000740,2023-09-29,743,0.025,LOW,synthetic-pd-v1.0
RISK0000741,CUST0001964,LOAN0000741,2022-10-11,756,0.0191,LOW,synthetic-pd-v1.0
RISK0000742,CUST0000701,LOAN0000742,2023-11-10,510,0.8053,HIGH,synthetic-pd-v1.0
RISK0000743,CUST0001047,LOAN0000743,2023-05-06,735,0.0296,LOW,synthetic-pd-v1.0
RISK0000744,CUST0001281,LOAN0000744,2025-07-28,708,0.0525,LOW,synthetic-pd-v1.0
RISK0000745,CUST0001102,LOAN0000745,2024-08-27,752,0.0206,LOW,synthetic-pd-v1.0
RISK0000746,CUST0000618,LOAN0000746,2025-07-24,755,0.0195,LOW,synthetic-pd-v1.0
RISK0000747,CUST0000235,LOAN0000747,2024-07-13,701,0.0597,LOW,synthetic-pd-v1.0
RISK0000748,CUST0000040,LOAN0000748,2023-06-09,712,0.0482,LOW,synthetic-pd-v1.0
RISK0000749,CUST0001713,LOAN0000749,2023-03-16,601,0.3617,HIGH,synthetic-pd-v1.0
RISK0000750,CUST0000994,LOAN0000750,2023-07-06,698,0.0643,LOW,synthetic-pd-v1.0
RISK0000751,CUST0001255,LOAN0000751,2023-09-20,725,0.0367,LOW,synthetic-pd-v1.0
RISK0000752,CUST0000055,LOAN0000752,2023-10-12,672,0.1084,MEDIUM,synthetic-pd-v1.0
RISK0000753,CUST0001770,LOAN0000753,2022-09-08,711,0.0491,LOW,synthetic-pd-v1.0
RISK0000754,CUST0000428,LOAN0000754,2025-06-24,700,0.0617,LOW,synthetic-pd-v1.0
RISK0000755,CUST0000499,LOAN0000755,2023-11-18,762,0.0168,LOW,synthetic-pd-v1.0
RISK0000756,CUST0001275,LOAN0000756,2026-02-15,669,0.1136,MEDIUM,synthetic-pd-v1.0
RISK0000757,CUST0000800,LOAN0000757,2026-01-03,606,0.3374,HIGH,synthetic-pd-v1.0
RISK0000758,CUST0001914,LOAN0000758,2022-03-31,700,0.0619,LOW,synthetic-pd-v1.0
RISK0000759,CUST0001882,LOAN0000759,2024-06-22,715,0.0451,LOW,synthetic-pd-v1.0
RISK0000760,CUST0000009,LOAN0000760,2025-03-20,619,0.2757,MEDIUM,synthetic-pd-v1.0
RISK0000761,CUST0000539,LOAN0000761,2022-01-05,492,0.8607,HIGH,synthetic-pd-v1.0
RISK0000762,CUST0001689,LOAN0000762,2021-10-03,596,0.3879,HIGH,synthetic-pd-v1.0
RISK0000763,CUST0001695,LOAN0000763,2022-06-19,716,0.0444,LOW,synthetic-pd-v1.0
RISK0000764,CUST0000816,LOAN0000764,2023-02-24,689,0.0765,LOW,synthetic-pd-v1.0
RISK0000765,CUST0000587,LOAN0000765,2022-10-20,698,0.0641,LOW,synthetic-pd-v1.0
RISK0000766,CUST0001847,LOAN0000766,2022-12-02,751,0.0212,LOW,synthetic-pd-v1.0
RISK0000767,CUST0001063,LOAN0000767,2022-04-22,715,0.0451,LOW,synthetic-pd-v1.0
RISK0000768,CUST0000353,LOAN0000768,2021-10-20,585,0.4482,HIGH,synthetic-pd-v1.0
RISK0000769,CUST0001127,LOAN0000769,2022-12-20,757,0.0185,LOW,synthetic-pd-v1.0
RISK0000770,CUST0000230,LOAN0000770,2026-05-25,697,0.0652,LOW,synthetic-pd-v1.0
RISK0000771,CUST0001203,LOAN0000771,2023-06-18,728,0.0344,LOW,synthetic-pd-v1.0
RISK0000772,CUST0001634,LOAN0000772,2025-07-31,635,0.2116,MEDIUM,synthetic-pd-v1.0
RISK0000773,CUST0001047,LOAN0000773,2026-08-29,725,0.0363,LOW,synthetic-pd-v1.0
RISK0000774,CUST0000267,LOAN0000774,2024-08-07,739,0.0272,LOW,synthetic-pd-v1.0
RISK0000775,CUST0000254,LOAN0000775,2025-05-05,622,0.2625,MEDIUM,synthetic-pd-v1.0
RISK0000776,CUST0001724,LOAN0000776,2022-02-01,539,0.6861,HIGH,synthetic-pd-v1.0
RISK0000777,CUST0000844,LOAN0000777,2021-11-20,722,0.0392,LOW,synthetic-pd-v1.0
RISK0000778,CUST0001860,LOAN0000778,2024-11-23,774,0.013,LOW,synthetic-pd-v1.0
RISK0000779,CUST0000842,LOAN0000779,2025-01-06,715,0.0449,LOW,synthetic-pd-v1.0
RISK0000780,CUST0001035,LOAN0000780,2023-11-30,691,0.0734,MEDIUM,synthetic-pd-v1.0
RISK0000781,CUST0000899,LOAN0000781,2025-06-14,791,0.0089,LOW,synthetic-pd-v1.0
RISK0000782,CUST0001951,LOAN0000782,2025-01-21,518,0.7749,HIGH,synthetic-pd-v1.0
RISK0000783,CUST0000235,LOAN0000783,2024-06-17,705,0.0556,LOW,synthetic-pd-v1.0
RISK0000784,CUST0001736,LOAN0000784,2026-07-20,695,0.0679,LOW,synthetic-pd-v1.0
RISK0000785,CUST0000062,LOAN0000785,2021-12-20,750,0.0213,LOW,synthetic-pd-v1.0
RISK0000786,CUST0000897,LOAN0000786,2022-05-21,758,0.0181,LOW,synthetic-pd-v1.0
RISK0000787,CUST0001165,LOAN0000787,2024-09-01,745,0.024,LOW,synthetic-pd-v1.0
RISK0000788,CUST0001767,LOAN0000788,2022-02-28,715,0.0453,LOW,synthetic-pd-v1.0
RISK0000789,CUST0001225,LOAN0000789,2025-08-26,619,0.277,MEDIUM,synthetic-pd-v1.0
RISK0000790,CUST0000520,LOAN0000790,2025-11-23,672,0.1068,LOW,synthetic-pd-v1.0
RISK0000791,CUST0000569,LOAN0000791,2022-10-21,655,0.1488,MEDIUM,synthetic-pd-v1.0
RISK0000792,CUST0001554,LOAN0000792,2022-11-11,705,0.055,LOW,synthetic-pd-v1.0
RISK0000793,CUST0000787,LOAN0000793,2023-11-22,693,0.0706,LOW,synthetic-pd-v1.0
RISK0000794,CUST0000889,LOAN0000794,2023-12-22,659,0.1391,MEDIUM,synthetic-pd-v1.0
RISK0000795,CUST0001172,LOAN0000795,2023-08-23,638,0.202,MEDIUM,synthetic-pd-v1.0
RISK0000796,CUST0000373,LOAN0000796,2024-08-14,715,0.0451,LOW,synthetic-pd-v1.0
RISK0000797,CUST0001108,LOAN0000797,2022-02-11,728,0.0345,LOW,synthetic-pd-v1.0
RISK0000798,CUST0000317,LOAN0000798,2022-01-15,724,0.0371,LOW,synthetic-pd-v1.0
RISK0000799,CUST0001457,LOAN0000799,2022-03-14,819,0.0048,LOW,synthetic-pd-v1.0
RISK0000800,CUST0001859,LOAN0000800,2021-11-30,748,0.0225,LOW,synthetic-pd-v1.0
RISK0000801,CUST0000385,LOAN0000801,2025-03-29,511,0.8031,HIGH,synthetic-pd-v1.0
RISK0000802,CUST0000245,LOAN0000802,2022-06-24,722,0.0389,LOW,synthetic-pd-v1.0
RISK0000803,CUST0001873,LOAN0000803,2025-04-23,699,0.0624,LOW,synthetic-pd-v1.0
RISK0000804,CUST0001885,LOAN0000804,2023-09-11,679,0.0935,LOW,synthetic-pd-v1.0
RISK0000805,CUST0000035,LOAN0000805,2024-10-06,698,0.0641,LOW,synthetic-pd-v1.0
RISK0000806,CUST0001842,LOAN0000806,2023-10-30,666,0.1207,MEDIUM,synthetic-pd-v1.0
RISK0000807,CUST0001177,LOAN0000807,2024-05-16,718,0.042,LOW,synthetic-pd-v1.0
RISK0000808,CUST0000975,LOAN0000808,2021-10-21,672,0.1074,MEDIUM,synthetic-pd-v1.0
RISK0000809,CUST0000555,LOAN0000809,2024-09-29,546,0.654,HIGH,synthetic-pd-v1.0
RISK0000810,CUST0000308,LOAN0000810,2023-11-13,739,0.0271,LOW,synthetic-pd-v1.0
RISK0000811,CUST0000112,LOAN0000811,2023-01-18,751,0.0211,LOW,synthetic-pd-v1.0
RISK0000812,CUST0000171,LOAN0000812,2022-09-15,652,0.1583,MEDIUM,synthetic-pd-v1.0
RISK0000813,CUST0000751,LOAN0000813,2022-11-30,717,0.0427,LOW,synthetic-pd-v1.0
RISK0000814,CUST0001716,LOAN0000814,2025-05-26,652,0.1562,MEDIUM,synthetic-pd-v1.0
RISK0000815,CUST0001619,LOAN0000815,2023-01-17,629,0.2349,MEDIUM,synthetic-pd-v1.0
RISK0000816,CUST0000908,LOAN0000816,2026-07-28,638,0.2014,MEDIUM,synthetic-pd-v1.0
RISK0000817,CUST0000079,LOAN0000817,2024-07-23,730,0.033,LOW,synthetic-pd-v1.0
RISK0000818,CUST0001829,LOAN0000818,2023-03-10,767,0.0149,LOW,synthetic-pd-v1.0
RISK0000819,CUST0000079,LOAN0000819,2025-03-08,693,0.0709,LOW,synthetic-pd-v1.0
RISK0000820,CUST0001998,LOAN0000820,2025-02-22,733,0.031,LOW,synthetic-pd-v1.0
RISK0000821,CUST0000002,LOAN0000821,2024-10-30,638,0.2005,MEDIUM,synthetic-pd-v1.0
RISK0000822,CUST0000217,LOAN0000822,2023-02-25,726,0.0354,LOW,synthetic-pd-v1.0
RISK0000823,CUST0000581,LOAN0000823,2025-01-14,715,0.0454,LOW,synthetic-pd-v1.0
RISK0000824,CUST0001893,LOAN0000824,2022-12-08,723,0.0382,LOW,synthetic-pd-v1.0
